"","data_action"
"15703","First Party Collection/Use"
"15704","First Party Collection/Use"
"15705","First Party Collection/Use"
"15706","First Party Collection/Use"
"15707","First Party Collection/Use"
"15708","First Party Collection/Use"
"15709","First Party Collection/Use"
"15710","Third Party Sharing/Collection"
"15711","First Party Collection/Use"
"15712","Third Party Sharing/Collection"
"15713","First Party Collection/Use"
"15714","First Party Collection/Use"
"15715","First Party Collection/Use"
"15716","Third Party Sharing/Collection"
"15717","First Party Collection/Use"
"15718","First Party Collection/Use"
"15719","First Party Collection/Use"
"15720","First Party Collection/Use"
"15721","First Party Collection/Use"
"15722","First Party Collection/Use"
"15723","First Party Collection/Use"
"15724","First Party Collection/Use"
"15725","First Party Collection/Use"
"15726","First Party Collection/Use"
"15727","First Party Collection/Use"
"15728","First Party Collection/Use"
"15729","First Party Collection/Use"
"15730","International and Specific Audiences"
"15731","First Party Collection/Use"
"15732","Third Party Sharing/Collection"
"15733","Third Party Sharing/Collection"
"15734","Third Party Sharing/Collection"
"15735","Third Party Sharing/Collection"
"15736","Third Party Sharing/Collection"
"15737","Third Party Sharing/Collection"
"15738","Third Party Sharing/Collection"
"15739","Third Party Sharing/Collection"
"15740","Third Party Sharing/Collection"
"15741","Third Party Sharing/Collection"
"15742","Third Party Sharing/Collection"
"15743","Third Party Sharing/Collection"
"15744","Third Party Sharing/Collection"
"15745","Third Party Sharing/Collection"
"15746","Third Party Sharing/Collection"
"15747","Third Party Sharing/Collection"
"15748","Third Party Sharing/Collection"
"15749","Third Party Sharing/Collection"
"15750","Third Party Sharing/Collection"
"15751","Data Security"
"15752","Third Party Sharing/Collection"
"15753","User Choice/Control"
"15754","User Choice/Control"
"15755","Third Party Sharing/Collection"
"15756","Third Party Sharing/Collection"
"15757","User Choice/Control"
"15758","Other"
"15759","Other"
"15760","Other"
"15761","Other"
"15762","Third Party Sharing/Collection"
"15763","Third Party Sharing/Collection"
"15764","Third Party Sharing/Collection"
"15765","User Choice/Control"
"15766","Third Party Sharing/Collection"
"15767","User Access, Edit and Deletion"
"15768","User Access, Edit and Deletion"
"15769","User Access, Edit and Deletion"
"15770","Data Retention"
"15771","User Access, Edit and Deletion"
"15772","User Access, Edit and Deletion"
"15773","User Access, Edit and Deletion"
"15774","User Choice/Control"
"15775","Data Retention"
"15776","User Choice/Control"
"15777","User Choice/Control"
"15778","User Choice/Control"
"15779","User Choice/Control"
"15780","User Choice/Control"
"15781","User Choice/Control"
"15782","User Choice/Control"
"15783","International and Specific Audiences"
"15784","Other"
"15785","International and Specific Audiences"
"15786","Data Security"
"15787","Data Security"
"15788","Data Security"
"15789","Data Security"
"15790","Data Security"
"15791","Data Security"
"15792","International and Specific Audiences"
"15793","Policy Change"
"15794","Policy Change"
"15795","Other"
"15796","Other"
"15797","First Party Collection/Use"
"15798","First Party Collection/Use"
"15799","First Party Collection/Use"
"15800","First Party Collection/Use"
"15801","First Party Collection/Use"
"15802","First Party Collection/Use"
"15803","First Party Collection/Use"
"15804","First Party Collection/Use"
"15805","First Party Collection/Use"
"15806","First Party Collection/Use"
"15807","Other"
"15808","Other"
"15809","Policy Change"
"15810","First Party Collection/Use"
"15811","First Party Collection/Use"
"15812","First Party Collection/Use"
"15813","First Party Collection/Use"
"15814","First Party Collection/Use"
"15815","First Party Collection/Use"
"15816","First Party Collection/Use"
"15817","First Party Collection/Use"
"15818","First Party Collection/Use"
"15819","First Party Collection/Use"
"15820","First Party Collection/Use"
"15821","First Party Collection/Use"
"15822","First Party Collection/Use"
"15823","First Party Collection/Use"
"15824","First Party Collection/Use"
"15825","First Party Collection/Use"
"15826","First Party Collection/Use"
"15827","First Party Collection/Use"
"15828","First Party Collection/Use"
"15829","First Party Collection/Use"
"15830","First Party Collection/Use"
"15831","First Party Collection/Use"
"15832","First Party Collection/Use"
"15833","First Party Collection/Use"
"15834","First Party Collection/Use"
"15835","First Party Collection/Use"
"15836","First Party Collection/Use"
"15837","First Party Collection/Use"
"15838","First Party Collection/Use"
"15839","First Party Collection/Use"
"15840","First Party Collection/Use"
"15841","First Party Collection/Use"
"15842","First Party Collection/Use"
"15843","First Party Collection/Use"
"15844","First Party Collection/Use"
"15845","First Party Collection/Use"
"15846","First Party Collection/Use"
"15847","First Party Collection/Use"
"15848","First Party Collection/Use"
"15849","User Choice/Control"
"15850","User Choice/Control"
"15851","First Party Collection/Use"
"15852","First Party Collection/Use"
"15853","First Party Collection/Use"
"15854","First Party Collection/Use"
"15855","First Party Collection/Use"
"15856","First Party Collection/Use"
"15857","First Party Collection/Use"
"15858","First Party Collection/Use"
"15859","Third Party Sharing/Collection"
"15860","First Party Collection/Use"
"15861","First Party Collection/Use"
"15862","First Party Collection/Use"
"15863","First Party Collection/Use"
"15864","First Party Collection/Use"
"15865","First Party Collection/Use"
"15866","Third Party Sharing/Collection"
"15867","Other"
"15868","First Party Collection/Use"
"15869","First Party Collection/Use"
"15870","Third Party Sharing/Collection"
"15871","First Party Collection/Use"
"15872","First Party Collection/Use"
"15873","First Party Collection/Use"
"15874","First Party Collection/Use"
"15875","First Party Collection/Use"
"15876","First Party Collection/Use"
"15877","First Party Collection/Use"
"15878","First Party Collection/Use"
"15879","First Party Collection/Use"
"15880","First Party Collection/Use"
"15881","First Party Collection/Use"
"15882","First Party Collection/Use"
"15883","First Party Collection/Use"
"15884","First Party Collection/Use"
"15885","Other"
"15886","First Party Collection/Use"
"15887","First Party Collection/Use"
"15888","First Party Collection/Use"
"15889","First Party Collection/Use"
"15890","First Party Collection/Use"
"15891","User Choice/Control"
"15892","First Party Collection/Use"
"15893","First Party Collection/Use"
"15894","First Party Collection/Use"
"15895","First Party Collection/Use"
"15896","First Party Collection/Use"
"15897","First Party Collection/Use"
"15898","Data Retention"
"15899","First Party Collection/Use"
"15900","Data Retention"
"15901","User Choice/Control"
"15902","First Party Collection/Use"
"15903","First Party Collection/Use"
"15904","First Party Collection/Use"
"15905","First Party Collection/Use"
"15906","First Party Collection/Use"
"15907","First Party Collection/Use"
"15908","First Party Collection/Use"
"15909","First Party Collection/Use"
"15910","First Party Collection/Use"
"15911","First Party Collection/Use"
"15912","First Party Collection/Use"
"15913","First Party Collection/Use"
"15914","First Party Collection/Use"
"15915","First Party Collection/Use"
"15916","First Party Collection/Use"
"15917","First Party Collection/Use"
"15918","First Party Collection/Use"
"15919","First Party Collection/Use"
"15920","First Party Collection/Use"
"15921","First Party Collection/Use"
"15922","First Party Collection/Use"
"15923","First Party Collection/Use"
"15924","First Party Collection/Use"
"15925","First Party Collection/Use"
"15926","First Party Collection/Use"
"15927","First Party Collection/Use"
"15928","First Party Collection/Use"
"15929","First Party Collection/Use"
"15930","First Party Collection/Use"
"15931","First Party Collection/Use"
"15932","First Party Collection/Use"
"15933","First Party Collection/Use"
"15934","First Party Collection/Use"
"15935","Third Party Sharing/Collection"
"15936","Third Party Sharing/Collection"
"15937","Third Party Sharing/Collection"
"15938","Third Party Sharing/Collection"
"15939","Third Party Sharing/Collection"
"15940","Third Party Sharing/Collection"
"15941","Third Party Sharing/Collection"
"15942","Third Party Sharing/Collection"
"15943","Third Party Sharing/Collection"
"15944","Third Party Sharing/Collection"
"15945","Third Party Sharing/Collection"
"15946","Third Party Sharing/Collection"
"15947","Third Party Sharing/Collection"
"15948","Third Party Sharing/Collection"
"15949","Third Party Sharing/Collection"
"15950","Third Party Sharing/Collection"
"15951","Third Party Sharing/Collection"
"15952","Third Party Sharing/Collection"
"15953","Third Party Sharing/Collection"
"15954","Third Party Sharing/Collection"
"15955","User Choice/Control"
"15956","Do Not Track"
"15957","Other"
"15958","User Choice/Control"
"15959","Do Not Track"
"15960","Other"
"15961","First Party Collection/Use"
"15962","First Party Collection/Use"
"15963","First Party Collection/Use"
"15964","First Party Collection/Use"
"15965","First Party Collection/Use"
"15966","First Party Collection/Use"
"15967","First Party Collection/Use"
"15968","First Party Collection/Use"
"15969","First Party Collection/Use"
"15970","First Party Collection/Use"
"15971","First Party Collection/Use"
"15972","First Party Collection/Use"
"15973","First Party Collection/Use"
"15974","First Party Collection/Use"
"15975","First Party Collection/Use"
"15976","First Party Collection/Use"
"15977","First Party Collection/Use"
"15978","First Party Collection/Use"
"15979","First Party Collection/Use"
"15980","First Party Collection/Use"
"15981","First Party Collection/Use"
"15982","First Party Collection/Use"
"15983","First Party Collection/Use"
"15984","First Party Collection/Use"
"15985","First Party Collection/Use"
"15986","First Party Collection/Use"
"15987","First Party Collection/Use"
"15988","First Party Collection/Use"
"15989","First Party Collection/Use"
"15990","First Party Collection/Use"
"15991","First Party Collection/Use"
"15992","First Party Collection/Use"
"15993","Other"
"15994","First Party Collection/Use"
"15995","First Party Collection/Use"
"15996","First Party Collection/Use"
"15997","First Party Collection/Use"
"15998","First Party Collection/Use"
"15999","First Party Collection/Use"
"16000","International and Specific Audiences"
"16001","Third Party Sharing/Collection"
"16002","Third Party Sharing/Collection"
"16003","International and Specific Audiences"
"16004","Third Party Sharing/Collection"
"16005","Third Party Sharing/Collection"
"16006","Third Party Sharing/Collection"
"16007","Third Party Sharing/Collection"
"16008","Third Party Sharing/Collection"
"16009","Third Party Sharing/Collection"
"16010","Data Security"
"16011","Third Party Sharing/Collection"
"16012","Third Party Sharing/Collection"
"16013","Third Party Sharing/Collection"
"16014","Third Party Sharing/Collection"
"16015","Third Party Sharing/Collection"
"16016","Third Party Sharing/Collection"
"16017","Third Party Sharing/Collection"
"16018","Third Party Sharing/Collection"
"16019","Data Security"
"16020","Third Party Sharing/Collection"
"16021","Third Party Sharing/Collection"
"16022","Third Party Sharing/Collection"
"16023","Third Party Sharing/Collection"
"16024","Third Party Sharing/Collection"
"16025","Third Party Sharing/Collection"
"16026","Third Party Sharing/Collection"
"16027","Third Party Sharing/Collection"
"16028","Third Party Sharing/Collection"
"16029","User Choice/Control"
"16030","User Choice/Control"
"16031","User Choice/Control"
"16032","Third Party Sharing/Collection"
"16033","Third Party Sharing/Collection"
"16034","Third Party Sharing/Collection"
"16035","Third Party Sharing/Collection"
"16036","Third Party Sharing/Collection"
"16037","User Choice/Control"
"16038","Third Party Sharing/Collection"
"16039","Third Party Sharing/Collection"
"16040","Other"
"16041","Third Party Sharing/Collection"
"16042","Other"
"16043","Third Party Sharing/Collection"
"16044","Third Party Sharing/Collection"
"16045","Third Party Sharing/Collection"
"16046","International and Specific Audiences"
"16047","Other"
"16048","International and Specific Audiences"
"16049","Third Party Sharing/Collection"
"16050","Other"
"16051","User Choice/Control"
"16052","User Choice/Control"
"16053","User Choice/Control"
"16054","User Choice/Control"
"16055","User Choice/Control"
"16056","User Choice/Control"
"16057","User Choice/Control"
"16058","User Access, Edit and Deletion"
"16059","User Access, Edit and Deletion"
"16060","User Access, Edit and Deletion"
"16061","User Choice/Control"
"16062","User Choice/Control"
"16063","Other"
"16064","Data Retention"
"16065","International and Specific Audiences"
"16066","Data Security"
"16067","Data Security"
"16068","Other"
"16069","Policy Change"
"16070","Policy Change"
"16071","Other"
"16072","Other"
"16073","Other"
"16074","First Party Collection/Use"
"16075","First Party Collection/Use"
"16076","Other"
"16077","First Party Collection/Use"
"16078","Other"
"16079","First Party Collection/Use"
"16080","First Party Collection/Use"
"16081","First Party Collection/Use"
"16082","First Party Collection/Use"
"16083","First Party Collection/Use"
"16084","First Party Collection/Use"
"16085","First Party Collection/Use"
"16086","First Party Collection/Use"
"16087","First Party Collection/Use"
"16088","First Party Collection/Use"
"16089","Data Retention"
"16090","Data Retention"
"16091","Data Retention"
"16092","Data Retention"
"16093","First Party Collection/Use"
"16094","First Party Collection/Use"
"16095","Third Party Sharing/Collection"
"16096","First Party Collection/Use"
"16097","First Party Collection/Use"
"16098","Third Party Sharing/Collection"
"16099","Data Retention"
"16100","User Choice/Control"
"16101","First Party Collection/Use"
"16102","First Party Collection/Use"
"16103","Third Party Sharing/Collection"
"16104","First Party Collection/Use"
"16105","First Party Collection/Use"
"16106","Third Party Sharing/Collection"
"16107","First Party Collection/Use"
"16108","Third Party Sharing/Collection"
"16109","First Party Collection/Use"
"16110","First Party Collection/Use"
"16111","First Party Collection/Use"
"16112","First Party Collection/Use"
"16113","Other"
"16114","User Choice/Control"
"16115","User Choice/Control"
"16116","User Choice/Control"
"16117","Third Party Sharing/Collection"
"16118","Third Party Sharing/Collection"
"16119","Data Security"
"16120","Third Party Sharing/Collection"
"16121","Third Party Sharing/Collection"
"16122","Third Party Sharing/Collection"
"16123","User Choice/Control"
"16124","User Choice/Control"
"16125","User Choice/Control"
"16126","Other"
"16127","Third Party Sharing/Collection"
"16128","Third Party Sharing/Collection"
"16129","Third Party Sharing/Collection"
"16130","Third Party Sharing/Collection"
"16131","Third Party Sharing/Collection"
"16132","Third Party Sharing/Collection"
"16133","User Choice/Control"
"16134","Data Security"
"16135","Data Security"
"16136","Data Security"
"16137","Data Security"
"16138","Data Security"
"16139","Data Security"
"16140","Data Security"
"16141","Other"
"16142","International and Specific Audiences"
"16143","Other"
"16144","Other"
"16145","Other"
"16146","Data Security"
"16147","Other"
"16148","First Party Collection/Use"
"16149","First Party Collection/Use"
"16150","First Party Collection/Use"
"16151","Other"
"16152","First Party Collection/Use"
"16153","First Party Collection/Use"
"16154","First Party Collection/Use"
"16155","First Party Collection/Use"
"16156","First Party Collection/Use"
"16157","First Party Collection/Use"
"16158","First Party Collection/Use"
"16159","Other"
"16160","First Party Collection/Use"
"16161","First Party Collection/Use"
"16162","First Party Collection/Use"
"16163","First Party Collection/Use"
"16164","Data Security"
"16165","Data Security"
"16166","Data Security"
"16167","Data Security"
"16168","Data Security"
"16169","Data Security"
"16170","Other"
"16171","First Party Collection/Use"
"16172","First Party Collection/Use"
"16173","First Party Collection/Use"
"16174","First Party Collection/Use"
"16175","First Party Collection/Use"
"16176","First Party Collection/Use"
"16177","User Choice/Control"
"16178","User Choice/Control"
"16179","User Choice/Control"
"16180","Other"
"16181","User Choice/Control"
"16182","Third Party Sharing/Collection"
"16183","Third Party Sharing/Collection"
"16184","Other"
"16185","Third Party Sharing/Collection"
"16186","Other"
"16187","Other"
"16188","Other"
"16189","First Party Collection/Use"
"16190","International and Specific Audiences"
"16191","International and Specific Audiences"
"16192","Other"
"16193","Other"
"16194","Data Security"
"16195","International and Specific Audiences"
"16196","Other"
"16197","Other"
"16198","Policy Change"
"16199","Policy Change"
"16200","User Access, Edit and Deletion"
"16201","User Access, Edit and Deletion"
"16202","User Choice/Control"
"16203","User Access, Edit and Deletion"
"16204","Do Not Track"
"16205","Third Party Sharing/Collection"
"16206","Third Party Sharing/Collection"
"16207","International and Specific Audiences"
"16208","International and Specific Audiences"
"16209","Other"
"16210","Data Security"
"16211","Other"
"16212","Other"
"16213","Data Security"
"16214","Data Security"
"16215","Other"
"16216","Data Security"
"16217","Other"
"16218","Data Security"
"16219","Other"
"16220","Policy Change"
"16221","Data Security"
"16222","Data Security"
"16223","Data Security"
"16224","Third Party Sharing/Collection"
"16225","Third Party Sharing/Collection"
"16226","Third Party Sharing/Collection"
"16227","Other"
"16228","First Party Collection/Use"
"16229","First Party Collection/Use"
"16230","First Party Collection/Use"
"16231","Third Party Sharing/Collection"
"16232","Third Party Sharing/Collection"
"16233","Third Party Sharing/Collection"
"16234","Third Party Sharing/Collection"
"16235","Third Party Sharing/Collection"
"16236","Third Party Sharing/Collection"
"16237","Third Party Sharing/Collection"
"16238","Third Party Sharing/Collection"
"16239","Third Party Sharing/Collection"
"16240","Third Party Sharing/Collection"
"16241","Other"
"16242","Other"
"16243","User Choice/Control"
"16244","User Choice/Control"
"16245","User Choice/Control"
"16246","User Choice/Control"
"16247","User Choice/Control"
"16248","User Choice/Control"
"16249","Other"
"16250","Data Security"
"16251","Data Security"
"16252","Data Security"
"16253","Data Security"
"16254","Other"
"16255","Other"
"16256","Other"
"16257","First Party Collection/Use"
"16258","First Party Collection/Use"
"16259","First Party Collection/Use"
"16260","Third Party Sharing/Collection"
"16261","First Party Collection/Use"
"16262","First Party Collection/Use"
"16263","First Party Collection/Use"
"16264","First Party Collection/Use"
"16265","First Party Collection/Use"
"16266","First Party Collection/Use"
"16267","First Party Collection/Use"
"16268","First Party Collection/Use"
"16269","First Party Collection/Use"
"16270","Third Party Sharing/Collection"
"16271","First Party Collection/Use"
"16272","First Party Collection/Use"
"16273","First Party Collection/Use"
"16274","Third Party Sharing/Collection"
"16275","First Party Collection/Use"
"16276","First Party Collection/Use"
"16277","First Party Collection/Use"
"16278","First Party Collection/Use"
"16279","First Party Collection/Use"
"16280","Third Party Sharing/Collection"
"16281","Third Party Sharing/Collection"
"16282","First Party Collection/Use"
"16283","First Party Collection/Use"
"16284","Third Party Sharing/Collection"
"16285","First Party Collection/Use"
"16286","First Party Collection/Use"
"16287","Third Party Sharing/Collection"
"16288","First Party Collection/Use"
"16289","Third Party Sharing/Collection"
"16290","Third Party Sharing/Collection"
"16291","First Party Collection/Use"
"16292","First Party Collection/Use"
"16293","First Party Collection/Use"
"16294","First Party Collection/Use"
"16295","First Party Collection/Use"
"16296","First Party Collection/Use"
"16297","First Party Collection/Use"
"16298","First Party Collection/Use"
"16299","First Party Collection/Use"
"16300","First Party Collection/Use"
"16301","First Party Collection/Use"
"16302","First Party Collection/Use"
"16303","First Party Collection/Use"
"16304","International and Specific Audiences"
"16305","Other"
"16306","First Party Collection/Use"
"16307","First Party Collection/Use"
"16308","First Party Collection/Use"
"16309","First Party Collection/Use"
"16310","First Party Collection/Use"
"16311","First Party Collection/Use"
"16312","First Party Collection/Use"
"16313","Other"
"16314","First Party Collection/Use"
"16315","First Party Collection/Use"
"16316","First Party Collection/Use"
"16317","First Party Collection/Use"
"16318","First Party Collection/Use"
"16319","First Party Collection/Use"
"16320","First Party Collection/Use"
"16321","First Party Collection/Use"
"16322","First Party Collection/Use"
"16323","First Party Collection/Use"
"16324","Policy Change"
"16325","First Party Collection/Use"
"16326","Other"
"16327","Data Retention"
"16328","Third Party Sharing/Collection"
"16329","Third Party Sharing/Collection"
"16330","First Party Collection/Use"
"16331","First Party Collection/Use"
"16332","First Party Collection/Use"
"16333","First Party Collection/Use"
"16334","First Party Collection/Use"
"16335","First Party Collection/Use"
"16336","Third Party Sharing/Collection"
"16337","Third Party Sharing/Collection"
"16338","Third Party Sharing/Collection"
"16339","First Party Collection/Use"
"16340","First Party Collection/Use"
"16341","First Party Collection/Use"
"16342","First Party Collection/Use"
"16343","Third Party Sharing/Collection"
"16344","Third Party Sharing/Collection"
"16345","Third Party Sharing/Collection"
"16346","Third Party Sharing/Collection"
"16347","First Party Collection/Use"
"16348","First Party Collection/Use"
"16349","First Party Collection/Use"
"16350","First Party Collection/Use"
"16351","First Party Collection/Use"
"16352","Other"
"16353","First Party Collection/Use"
"16354","First Party Collection/Use"
"16355","First Party Collection/Use"
"16356","First Party Collection/Use"
"16357","First Party Collection/Use"
"16358","First Party Collection/Use"
"16359","First Party Collection/Use"
"16360","First Party Collection/Use"
"16361","First Party Collection/Use"
"16362","User Choice/Control"
"16363","User Choice/Control"
"16364","User Choice/Control"
"16365","Third Party Sharing/Collection"
"16366","Third Party Sharing/Collection"
"16367","Third Party Sharing/Collection"
"16368","Third Party Sharing/Collection"
"16369","Third Party Sharing/Collection"
"16370","Third Party Sharing/Collection"
"16371","Third Party Sharing/Collection"
"16372","Other"
"16373","Data Security"
"16374","First Party Collection/Use"
"16375","Third Party Sharing/Collection"
"16376","Third Party Sharing/Collection"
"16377","First Party Collection/Use"
"16378","Third Party Sharing/Collection"
"16379","First Party Collection/Use"
"16380","First Party Collection/Use"
"16381","Third Party Sharing/Collection"
"16382","First Party Collection/Use"
"16383","First Party Collection/Use"
"16384","First Party Collection/Use"
"16385","First Party Collection/Use"
"16386","First Party Collection/Use"
"16387","First Party Collection/Use"
"16388","First Party Collection/Use"
"16389","First Party Collection/Use"
"16390","First Party Collection/Use"
"16391","First Party Collection/Use"
"16392","First Party Collection/Use"
"16393","First Party Collection/Use"
"16394","First Party Collection/Use"
"16395","First Party Collection/Use"
"16396","First Party Collection/Use"
"16397","First Party Collection/Use"
"16398","First Party Collection/Use"
"16399","First Party Collection/Use"
"16400","First Party Collection/Use"
"16401","First Party Collection/Use"
"16402","First Party Collection/Use"
"16403","First Party Collection/Use"
"16404","First Party Collection/Use"
"16405","First Party Collection/Use"
"16406","Third Party Sharing/Collection"
"16407","Third Party Sharing/Collection"
"16408","Third Party Sharing/Collection"
"16409","First Party Collection/Use"
"16410","Third Party Sharing/Collection"
"16411","Third Party Sharing/Collection"
"16412","Third Party Sharing/Collection"
"16413","First Party Collection/Use"
"16414","Third Party Sharing/Collection"
"16415","Third Party Sharing/Collection"
"16416","Third Party Sharing/Collection"
"16417","Third Party Sharing/Collection"
"16418","Third Party Sharing/Collection"
"16419","Third Party Sharing/Collection"
"16420","First Party Collection/Use"
"16421","First Party Collection/Use"
"16422","First Party Collection/Use"
"16423","Other"
"16424","First Party Collection/Use"
"16425","First Party Collection/Use"
"16426","First Party Collection/Use"
"16427","First Party Collection/Use"
"16428","First Party Collection/Use"
"16429","First Party Collection/Use"
"16430","Third Party Sharing/Collection"
"16431","Third Party Sharing/Collection"
"16432","Third Party Sharing/Collection"
"16433","First Party Collection/Use"
"16434","Third Party Sharing/Collection"
"16435","Third Party Sharing/Collection"
"16436","Other"
"16437","Third Party Sharing/Collection"
"16438","Third Party Sharing/Collection"
"16439","Data Retention"
"16440","Third Party Sharing/Collection"
"16441","Third Party Sharing/Collection"
"16442","Third Party Sharing/Collection"
"16443","Third Party Sharing/Collection"
"16444","Third Party Sharing/Collection"
"16445","Third Party Sharing/Collection"
"16446","Third Party Sharing/Collection"
"16447","Third Party Sharing/Collection"
"16448","Third Party Sharing/Collection"
"16449","Third Party Sharing/Collection"
"16450","Third Party Sharing/Collection"
"16451","Third Party Sharing/Collection"
"16452","Third Party Sharing/Collection"
"16453","Third Party Sharing/Collection"
"16454","Third Party Sharing/Collection"
"16455","Third Party Sharing/Collection"
"16456","Third Party Sharing/Collection"
"16457","Third Party Sharing/Collection"
"16458","Third Party Sharing/Collection"
"16459","Third Party Sharing/Collection"
"16460","Third Party Sharing/Collection"
"16461","Third Party Sharing/Collection"
"16462","Third Party Sharing/Collection"
"16463","Third Party Sharing/Collection"
"16464","Third Party Sharing/Collection"
"16465","Third Party Sharing/Collection"
"16466","Other"
"16467","Data Security"
"16468","Data Security"
"16469","Data Security"
"16470","User Choice/Control"
"16471","User Choice/Control"
"16472","User Choice/Control"
"16473","International and Specific Audiences"
"16474","Other"
"16475","First Party Collection/Use"
"16476","Other"
"16477","Other"
"16478","Third Party Sharing/Collection"
"16479","Third Party Sharing/Collection"
"16480","Other"
"16481","Third Party Sharing/Collection"
"16482","Other"
"16483","Third Party Sharing/Collection"
"16484","Third Party Sharing/Collection"
"16485","Third Party Sharing/Collection"
"16486","Third Party Sharing/Collection"
"16487","Other"
"16488","Other"
"16489","Third Party Sharing/Collection"
"16490","Third Party Sharing/Collection"
"16491","User Choice/Control"
"16492","Other"
"16493","User Choice/Control"
"16494","User Choice/Control"
"16495","User Choice/Control"
"16496","User Choice/Control"
"16497","User Choice/Control"
"16498","Other"
"16499","User Choice/Control"
"16500","Other"
"16501","Policy Change"
"16502","Policy Change"
"16503","Other"
"16504","Other"
"16505","Other"
"16506","Other"
"16507","Other"
"16508","Other"
"16509","First Party Collection/Use"
"16510","First Party Collection/Use"
"16511","First Party Collection/Use"
"16512","First Party Collection/Use"
"16513","First Party Collection/Use"
"16514","First Party Collection/Use"
"16515","First Party Collection/Use"
"16516","First Party Collection/Use"
"16517","First Party Collection/Use"
"16518","First Party Collection/Use"
"16519","First Party Collection/Use"
"16520","First Party Collection/Use"
"16521","First Party Collection/Use"
"16522","First Party Collection/Use"
"16523","First Party Collection/Use"
"16524","First Party Collection/Use"
"16525","First Party Collection/Use"
"16526","First Party Collection/Use"
"16527","First Party Collection/Use"
"16528","First Party Collection/Use"
"16529","First Party Collection/Use"
"16530","First Party Collection/Use"
"16531","First Party Collection/Use"
"16532","First Party Collection/Use"
"16533","First Party Collection/Use"
"16534","First Party Collection/Use"
"16535","First Party Collection/Use"
"16536","First Party Collection/Use"
"16537","Data Retention"
"16538","Other"
"16539","Third Party Sharing/Collection"
"16540","Other"
"16541","Third Party Sharing/Collection"
"16542","Third Party Sharing/Collection"
"16543","Other"
"16544","First Party Collection/Use"
"16545","First Party Collection/Use"
"16546","First Party Collection/Use"
"16547","First Party Collection/Use"
"16548","First Party Collection/Use"
"16549","First Party Collection/Use"
"16550","First Party Collection/Use"
"16551","First Party Collection/Use"
"16552","First Party Collection/Use"
"16553","First Party Collection/Use"
"16554","First Party Collection/Use"
"16555","Third Party Sharing/Collection"
"16556","User Choice/Control"
"16557","Other"
"16558","First Party Collection/Use"
"16559","Third Party Sharing/Collection"
"16560","Third Party Sharing/Collection"
"16561","Third Party Sharing/Collection"
"16562","Third Party Sharing/Collection"
"16563","Third Party Sharing/Collection"
"16564","Third Party Sharing/Collection"
"16565","User Choice/Control"
"16566","User Choice/Control"
"16567","User Choice/Control"
"16568","User Choice/Control"
"16569","User Choice/Control"
"16570","User Choice/Control"
"16571","User Choice/Control"
"16572","User Choice/Control"
"16573","User Choice/Control"
"16574","User Choice/Control"
"16575","User Choice/Control"
"16576","Other"
"16577","User Choice/Control"
"16578","User Choice/Control"
"16579","User Choice/Control"
"16580","User Choice/Control"
"16581","User Choice/Control"
"16582","User Choice/Control"
"16583","User Choice/Control"
"16584","User Choice/Control"
"16585","User Choice/Control"
"16586","User Choice/Control"
"16587","Other"
"16588","User Choice/Control"
"16589","User Choice/Control"
"16590","User Choice/Control"
"16591","User Choice/Control"
"16592","User Choice/Control"
"16593","User Choice/Control"
"16594","User Choice/Control"
"16595","User Choice/Control"
"16596","Other"
"16597","User Choice/Control"
"16598","User Access, Edit and Deletion"
"16599","User Choice/Control"
"16600","User Choice/Control"
"16601","Other"
"16602","Other"
"16603","Third Party Sharing/Collection"
"16604","Third Party Sharing/Collection"
"16605","Third Party Sharing/Collection"
"16606","Third Party Sharing/Collection"
"16607","Third Party Sharing/Collection"
"16608","Third Party Sharing/Collection"
"16609","Third Party Sharing/Collection"
"16610","Third Party Sharing/Collection"
"16611","Third Party Sharing/Collection"
"16612","Third Party Sharing/Collection"
"16613","Third Party Sharing/Collection"
"16614","First Party Collection/Use"
"16615","First Party Collection/Use"
"16616","Third Party Sharing/Collection"
"16617","Third Party Sharing/Collection"
"16618","Third Party Sharing/Collection"
"16619","Third Party Sharing/Collection"
"16620","Third Party Sharing/Collection"
"16621","Third Party Sharing/Collection"
"16622","Data Security"
"16623","Third Party Sharing/Collection"
"16624","Third Party Sharing/Collection"
"16625","Third Party Sharing/Collection"
"16626","Third Party Sharing/Collection"
"16627","Third Party Sharing/Collection"
"16628","Third Party Sharing/Collection"
"16629","Third Party Sharing/Collection"
"16630","Third Party Sharing/Collection"
"16631","Other"
"16632","Third Party Sharing/Collection"
"16633","Other"
"16634","User Choice/Control"
"16635","Other"
"16636","Third Party Sharing/Collection"
"16637","Other"
"16638","Third Party Sharing/Collection"
"16639","Third Party Sharing/Collection"
"16640","Data Security"
"16641","Other"
"16642","User Access, Edit and Deletion"
"16643","Other"
"16644","Other"
"16645","Other"
"16646","Other"
"16647","Other"
"16648","First Party Collection/Use"
"16649","First Party Collection/Use"
"16650","First Party Collection/Use"
"16651","Other"
"16652","First Party Collection/Use"
"16653","First Party Collection/Use"
"16654","First Party Collection/Use"
"16655","First Party Collection/Use"
"16656","User Choice/Control"
"16657","User Choice/Control"
"16658","First Party Collection/Use"
"16659","First Party Collection/Use"
"16660","First Party Collection/Use"
"16661","First Party Collection/Use"
"16662","First Party Collection/Use"
"16663","First Party Collection/Use"
"16664","First Party Collection/Use"
"16665","First Party Collection/Use"
